도,시군,품목,작기,농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별꽃수,화방별개화수,화방별착과수,비고,주차시작일,주간평균_온도_외부,주간평균_일사량_외부,주간평균_온도_내부,주간평균_상대습도_내부
경기,고양,완숙토마토,1,6,2022-02-15,1,1.0,30.5,,6.0,16.2,11.9,5.0,3.3,1.0,4.0,2.0,0.0,,2022-02-14,-5.2857142857142865,,12.071428571428571,76.25714285714285
경기,고양,완숙토마토,1,6,2022-02-22,1,1.0,39.7,9.2,6.0,17.9,14.1,6.0,9.3,1.0,3.0,2.0,1.0,,2022-02-21,-5.871428571428573,,12.028571428571428,77.82857142857142
경기,고양,완숙토마토,1,6,2022-02-28,1,1.0,54.9,15.2,6.0,20.9,14.6,6.7,23.6,1.0,1.0,1.0,3.0,,2022-02-28,-0.557142857142857,,12.171428571428573,86.21428571428571
경기,고양,완숙토마토,1,6,2022-02-28,1,1.0,54.9,15.7,6.0,20.9,14.6,6.7,23.6,2.0,4.0,0.0,0.0,,2022-02-28,-0.557142857142857,,12.171428571428573,86.21428571428571
경기,고양,완숙토마토,1,6,2022-03-07,1,1.0,78.0,23.1,6.0,20.6,14.7,7.6,48.5,1.0,0.0,0.0,4.0,,2022-03-07,1.2857142857142858,,12.971428571428572,89.07142857142856
경기,고양,완숙토마토,1,6,2022-03-07,1,1.0,78.0,23.1,6.0,20.6,14.7,7.6,48.5,2.0,7.0,0.0,0.0,,2022-03-07,1.2857142857142858,,12.971428571428572,89.07142857142856
경기,고양,완숙토마토,1,6,2022-03-07,1,1.0,78.0,23.1,6.0,20.6,14.7,7.6,48.5,3.0,4.0,0.0,0.0,,2022-03-07,1.2857142857142858,,12.971428571428572,89.07142857142856
경기,고양,완숙토마토,1,6,2022-03-14,1,1.0,88.5,10.5,10.0,31.7,38.1,11.6,32.7,1.0,0.0,0.0,4.0,,2022-03-14,5.914285714285714,,13.257142857142856,93.0
경기,고양,완숙토마토,1,6,2022-03-14,1,1.0,88.5,10.5,10.0,31.7,38.1,11.6,32.7,2.0,7.0,5.0,0.0,,2022-03-14,5.914285714285714,,13.257142857142856,93.0
경기,고양,완숙토마토,1,6,2022-03-14,1,1.0,88.5,10.5,10.0,31.7,38.1,11.6,32.7,3.0,3.0,0.0,0.0,,2022-03-14,5.914285714285714,,13.257142857142856,93.0
경기,고양,완숙토마토,1,6,2022-03-21,1,1.0,115.3,26.8,12.0,40.1,39.8,8.7,13.2,1.0,0.0,0.0,4.0,,2022-03-21,4.928571428571429,,13.02857142857143,92.67142857142856
경기,고양,완숙토마토,1,6,2022-03-21,1,1.0,115.3,26.8,12.0,40.1,39.8,8.7,13.2,2.0,3.0,3.0,4.0,,2022-03-21,4.928571428571429,,13.02857142857143,92.67142857142856
경기,고양,완숙토마토,1,6,2022-03-21,1,1.0,115.3,26.8,12.0,40.1,39.8,8.7,13.2,3.0,6.0,1.0,0.0,,2022-03-21,4.928571428571429,,13.02857142857143,92.67142857142856
경기,고양,완숙토마토,1,6,2022-03-21,1,1.0,115.3,26.8,12.0,40.1,39.8,8.7,13.2,4.0,4.0,0.0,0.0,,2022-03-21,4.928571428571429,,13.02857142857143,92.67142857142856
경기,고양,완숙토마토,1,6,2022-03-28,1,1.0,131.5,16.2,12.0,41.0,43.5,9.4,33.7,1.0,0.0,0.0,4.0,,2022-03-28,4.014285714285714,,12.942857142857141,91.47142857142858
경기,고양,완숙토마토,1,6,2022-03-28,1,1.0,131.5,16.2,12.0,41.0,43.5,9.4,33.7,2.0,0.0,0.0,5.0,,2022-03-28,4.014285714285714,,12.942857142857141,91.47142857142858
경기,고양,완숙토마토,1,6,2022-03-28,1,1.0,131.5,16.2,12.0,41.0,43.5,9.4,33.7,3.0,5.0,5.0,0.0,,2022-03-28,4.014285714285714,,12.942857142857141,91.47142857142858
경기,고양,완숙토마토,1,6,2022-03-28,1,1.0,131.5,16.2,12.0,41.0,43.5,9.4,33.7,4.0,5.0,1.0,0.0,,2022-03-28,4.014285714285714,,12.942857142857141,91.47142857142858
경기,고양,완숙토마토,1,6,2022-04-04,1,1.0,159.8,28.3,15.0,46.7,44.8,10.0,22.5,1.0,0.0,0.0,4.0,,2022-04-04,8.514285714285714,,14.257142857142854,91.32857142857144
경기,고양,완숙토마토,1,6,2022-04-04,1,1.0,159.8,28.3,15.0,46.7,44.8,10.0,22.5,2.0,0.0,0.0,5.0,,2022-04-04,8.514285714285714,,14.257142857142854,91.32857142857144
경기,고양,완숙토마토,1,6,2022-04-04,1,1.0,159.8,28.3,15.0,46.7,44.8,10.0,22.5,3.0,1.0,1.0,5.0,,2022-04-04,8.514285714285714,,14.257142857142854,91.32857142857144
경기,고양,완숙토마토,1,6,2022-04-04,1,1.0,159.8,28.3,15.0,46.7,44.8,10.0,22.5,4.0,3.0,3.0,2.0,,2022-04-04,8.514285714285714,,14.257142857142854,91.32857142857144
경기,고양,완숙토마토,1,6,2022-04-04,1,1.0,159.8,28.3,15.0,46.7,44.8,10.0,22.5,5.0,8.0,1.0,0.0,,2022-04-04,8.514285714285714,,14.257142857142854,91.32857142857144
경기,고양,완숙토마토,1,6,2022-04-11,1,1.0,179.5,19.7,18.0,41.0,52.0,7.2,22.2,1.0,0.0,0.0,4.0,,2022-04-11,11.9,,16.114285714285717,92.27142857142857
경기,고양,완숙토마토,1,6,2022-04-11,1,1.0,179.5,19.7,18.0,41.0,52.0,7.2,22.2,2.0,0.0,0.0,5.0,,2022-04-11,11.9,,16.114285714285717,92.27142857142857
경기,고양,완숙토마토,1,6,2022-04-11,1,1.0,179.5,19.7,18.0,41.0,52.0,7.2,22.2,3.0,0.0,0.0,6.0,,2022-04-11,11.9,,16.114285714285717,92.27142857142857
경기,고양,완숙토마토,1,6,2022-04-11,1,1.0,179.5,19.7,18.0,41.0,52.0,7.2,22.2,4.0,0.0,0.0,5.0,,2022-04-11,11.9,,16.114285714285717,92.27142857142857
경기,고양,완숙토마토,1,6,2022-04-11,1,1.0,179.5,19.7,18.0,41.0,52.0,7.2,22.2,5.0,10.0,4.0,0.0,,2022-04-11,11.9,,16.114285714285717,92.27142857142857
경기,고양,완숙토마토,1,6,2022-04-11,1,1.0,179.5,19.7,18.0,41.0,52.0,7.2,22.2,6.0,5.0,0.0,0.0,,2022-04-11,11.9,,16.114285714285717,92.27142857142857
경기,고양,완숙토마토,1,6,2022-04-18,1,1.0,185.5,6.0,18.0,47.0,54.0,10.2,35.0,1.0,0.0,0.0,4.0,,2022-04-18,11.657142857142857,,15.171428571428573,91.28571428571429
경기,고양,완숙토마토,1,6,2022-04-18,1,1.0,185.5,6.0,18.0,47.0,54.0,10.2,35.0,2.0,0.0,0.0,5.0,,2022-04-18,11.657142857142857,,15.171428571428573,91.28571428571429
경기,고양,완숙토마토,1,6,2022-04-18,1,1.0,185.5,6.0,18.0,47.0,54.0,10.2,35.0,3.0,0.0,0.0,6.0,,2022-04-18,11.657142857142857,,15.171428571428573,91.28571428571429
경기,고양,완숙토마토,1,6,2022-04-18,1,1.0,185.5,6.0,18.0,47.0,54.0,10.2,35.0,4.0,0.0,0.0,5.0,,2022-04-18,11.657142857142857,,15.171428571428573,91.28571428571429
경기,고양,완숙토마토,1,6,2022-04-18,1,1.0,185.5,6.0,18.0,47.0,54.0,10.2,35.0,5.0,4.0,4.0,6.0,,2022-04-18,11.657142857142857,,15.171428571428573,91.28571428571429
경기,고양,완숙토마토,1,6,2022-04-18,1,1.0,185.5,6.0,18.0,47.0,54.0,10.2,35.0,6.0,5.0,2.0,1.0,,2022-04-18,11.657142857142857,,15.171428571428573,91.28571428571429
경기,고양,완숙토마토,1,6,2022-04-25,1,1.0,198.3,12.8,18.0,40.9,44.6,10.5,11.6,1.0,0.0,0.0,4.0,,2022-04-25,15.442857142857145,,17.25714285714286,91.78571428571429
경기,고양,완숙토마토,1,6,2022-04-25,1,1.0,198.3,12.8,18.0,40.9,44.6,10.5,11.6,2.0,0.0,0.0,5.0,,2022-04-25,15.442857142857145,,17.25714285714286,91.78571428571429
경기,고양,완숙토마토,1,6,2022-04-25,1,1.0,198.3,12.8,18.0,40.9,44.6,10.5,11.6,3.0,0.0,0.0,6.0,,2022-04-25,15.442857142857145,,17.25714285714286,91.78571428571429
경기,고양,완숙토마토,1,6,2022-04-25,1,1.0,198.3,12.8,18.0,40.9,44.6,10.5,11.6,4.0,0.0,0.0,5.0,,2022-04-25,15.442857142857145,,17.25714285714286,91.78571428571429
경기,고양,완숙토마토,1,6,2022-04-25,1,1.0,198.3,12.8,18.0,40.9,44.6,10.5,11.6,5.0,1.0,1.0,6.0,,2022-04-25,15.442857142857145,,17.25714285714286,91.78571428571429
경기,고양,완숙토마토,1,6,2022-04-25,1,1.0,198.3,12.8,18.0,40.9,44.6,10.5,11.6,6.0,3.0,3.0,3.0,,2022-04-25,15.442857142857145,,17.25714285714286,91.78571428571429
경기,고양,완숙토마토,1,6,2022-05-02,1,1.0,198.3,,,,,9.4,11.6,1.0,0.0,0.0,0.0,,2022-05-02,12.414285714285713,,16.314285714285713,88.57142857142857
경기,고양,완숙토마토,1,6,2022-05-02,1,1.0,198.3,,,,,9.4,11.6,2.0,0.0,0.0,5.0,,2022-05-02,12.414285714285713,,16.314285714285713,88.57142857142857
경기,고양,완숙토마토,1,6,2022-05-02,1,1.0,198.3,,,,,9.4,11.6,3.0,0.0,0.0,6.0,,2022-05-02,12.414285714285713,,16.314285714285713,88.57142857142857
경기,고양,완숙토마토,1,6,2022-05-02,1,1.0,198.3,,,,,9.4,11.6,4.0,0.0,0.0,5.0,,2022-05-02,12.414285714285713,,16.314285714285713,88.57142857142857
경기,고양,완숙토마토,1,6,2022-05-02,1,1.0,198.3,,,,,9.4,11.6,5.0,0.0,0.0,6.0,,2022-05-02,12.414285714285713,,16.314285714285713,88.57142857142857
경기,고양,완숙토마토,1,6,2022-05-02,1,1.0,198.3,,,,,9.4,11.6,6.0,0.0,0.0,6.0,,2022-05-02,12.414285714285713,,16.314285714285713,88.57142857142857
경기,고양,완숙토마토,1,6,2022-05-09,1,1.0,198.3,,,,,10.5,11.6,1.0,0.0,0.0,0.0,,2022-05-09,13.457142857142857,,15.585714285714285,83.27142857142859
경기,고양,완숙토마토,1,6,2022-05-09,1,1.0,198.3,,,,,10.5,11.6,2.0,0.0,0.0,5.0,,2022-05-09,13.457142857142857,,15.585714285714285,83.27142857142859
경기,고양,완숙토마토,1,6,2022-05-09,1,1.0,198.3,,,,,10.5,11.6,3.0,0.0,0.0,6.0,,2022-05-09,13.457142857142857,,15.585714285714285,83.27142857142859
경기,고양,완숙토마토,1,6,2022-05-09,1,1.0,198.3,,,,,10.5,11.6,4.0,0.0,0.0,5.0,,2022-05-09,13.457142857142857,,15.585714285714285,83.27142857142859
경기,고양,완숙토마토,1,6,2022-05-09,1,1.0,198.3,,,,,10.5,11.6,5.0,0.0,0.0,6.0,,2022-05-09,13.457142857142857,,15.585714285714285,83.27142857142859
경기,고양,완숙토마토,1,6,2022-05-09,1,1.0,198.3,,,,,10.5,11.6,6.0,0.0,0.0,6.0,,2022-05-09,13.457142857142857,,15.585714285714285,83.27142857142859
경기,고양,완숙토마토,1,6,2022-05-16,1,1.0,198.3,,,,,10.5,11.6,1.0,0.0,0.0,0.0,,2022-05-16,14.87142857142857,,15.928571428571429,84.62857142857142
경기,고양,완숙토마토,1,6,2022-05-16,1,1.0,198.3,,,,,10.5,11.6,2.0,0.0,0.0,3.0,,2022-05-16,14.87142857142857,,15.928571428571429,84.62857142857142
경기,고양,완숙토마토,1,6,2022-05-16,1,1.0,198.3,,,,,10.5,11.6,3.0,0.0,0.0,6.0,,2022-05-16,14.87142857142857,,15.928571428571429,84.62857142857142
경기,고양,완숙토마토,1,6,2022-05-16,1,1.0,198.3,,,,,10.5,11.6,4.0,0.0,0.0,5.0,,2022-05-16,14.87142857142857,,15.928571428571429,84.62857142857142
경기,고양,완숙토마토,1,6,2022-05-16,1,1.0,198.3,,,,,10.5,11.6,5.0,0.0,0.0,6.0,,2022-05-16,14.87142857142857,,15.928571428571429,84.62857142857142
경기,고양,완숙토마토,1,6,2022-05-16,1,1.0,198.3,,,,,10.5,11.6,6.0,0.0,0.0,6.0,,2022-05-16,14.87142857142857,,15.928571428571429,84.62857142857142
경기,고양,완숙토마토,1,6,2022-05-23,1,1.0,198.3,,,,,10.5,11.6,1.0,0.0,0.0,0.0,,2022-05-23,26.5,,16.75714285714286,85.71428571428571
경기,고양,완숙토마토,1,6,2022-05-23,1,1.0,198.3,,,,,10.5,11.6,2.0,0.0,0.0,0.0,,2022-05-23,26.5,,16.75714285714286,85.71428571428571
경기,고양,완숙토마토,1,6,2022-05-23,1,1.0,198.3,,,,,10.5,11.6,3.0,0.0,0.0,6.0,,2022-05-23,26.5,,16.75714285714286,85.71428571428571
경기,고양,완숙토마토,1,6,2022-05-23,1,1.0,198.3,,,,,10.5,11.6,4.0,0.0,0.0,4.0,,2022-05-23,26.5,,16.75714285714286,85.71428571428571
경기,고양,완숙토마토,1,6,2022-05-23,1,1.0,198.3,,,,,10.5,11.6,5.0,0.0,0.0,6.0,,2022-05-23,26.5,,16.75714285714286,85.71428571428571
경기,고양,완숙토마토,1,6,2022-05-23,1,1.0,198.3,,,,,10.5,11.6,6.0,0.0,0.0,6.0,,2022-05-23,26.5,,16.75714285714286,85.71428571428571
경기,고양,완숙토마토,1,6,2022-05-30,1,1.0,198.3,,,,,10.5,11.6,1.0,0.0,0.0,0.0,,2022-05-30,26.266666666666666,,17.414285714285715,87.28571428571429
경기,고양,완숙토마토,1,6,2022-05-30,1,1.0,198.3,,,,,10.5,11.6,2.0,0.0,0.0,0.0,,2022-05-30,26.266666666666666,,17.414285714285715,87.28571428571429
경기,고양,완숙토마토,1,6,2022-05-30,1,1.0,198.3,,,,,10.5,11.6,3.0,0.0,0.0,1.0,,2022-05-30,26.266666666666666,,17.414285714285715,87.28571428571429
경기,고양,완숙토마토,1,6,2022-05-30,1,1.0,198.3,,,,,10.5,11.6,4.0,0.0,0.0,3.0,,2022-05-30,26.266666666666666,,17.414285714285715,87.28571428571429
경기,고양,완숙토마토,1,6,2022-05-30,1,1.0,198.3,,,,,10.5,11.6,5.0,0.0,0.0,6.0,,2022-05-30,26.266666666666666,,17.414285714285715,87.28571428571429
경기,고양,완숙토마토,1,6,2022-05-30,1,1.0,198.3,,,,,10.5,11.6,6.0,0.0,0.0,6.0,,2022-05-30,26.266666666666666,,17.414285714285715,87.28571428571429
경기,고양,완숙토마토,1,6,2022-06-07,1,1.0,198.3,,,,,10.5,11.6,1.0,0.0,0.0,0.0,,2022-06-06,19.485714285714288,,18.185714285714287,86.87142857142858
경기,고양,완숙토마토,1,6,2022-06-07,1,1.0,198.3,,,,,10.5,11.6,2.0,0.0,0.0,0.0,,2022-06-06,19.485714285714288,,18.185714285714287,86.87142857142858
경기,고양,완숙토마토,1,6,2022-06-07,1,1.0,198.3,,,,,10.5,11.6,3.0,0.0,0.0,0.0,,2022-06-06,19.485714285714288,,18.185714285714287,86.87142857142858
경기,고양,완숙토마토,1,6,2022-06-07,1,1.0,198.3,,,,,10.5,11.6,4.0,0.0,0.0,3.0,,2022-06-06,19.485714285714288,,18.185714285714287,86.87142857142858
경기,고양,완숙토마토,1,6,2022-06-07,1,1.0,198.3,,,,,10.5,11.6,5.0,0.0,0.0,6.0,,2022-06-06,19.485714285714288,,18.185714285714287,86.87142857142858
경기,고양,완숙토마토,1,6,2022-06-07,1,1.0,198.3,,,,,10.5,11.6,6.0,0.0,0.0,6.0,,2022-06-06,19.485714285714288,,18.185714285714287,86.87142857142858
경기,고양,완숙토마토,1,6,2022-06-13,1,1.0,198.3,,,,,10.5,11.6,1.0,0.0,0.0,0.0,,2022-06-13,20.02857142857143,,19.971428571428568,86.32857142857142
경기,고양,완숙토마토,1,6,2022-06-13,1,1.0,198.3,,,,,10.5,11.6,2.0,0.0,0.0,0.0,,2022-06-13,20.02857142857143,,19.971428571428568,86.32857142857142
경기,고양,완숙토마토,1,6,2022-06-13,1,1.0,198.3,,,,,10.5,11.6,3.0,0.0,0.0,0.0,,2022-06-13,20.02857142857143,,19.971428571428568,86.32857142857142
경기,고양,완숙토마토,1,6,2022-06-13,1,1.0,198.3,,,,,10.5,11.6,4.0,0.0,0.0,3.0,,2022-06-13,20.02857142857143,,19.971428571428568,86.32857142857142
경기,고양,완숙토마토,1,6,2022-06-13,1,1.0,198.3,,,,,10.5,11.6,5.0,0.0,0.0,6.0,,2022-06-13,20.02857142857143,,19.971428571428568,86.32857142857142
경기,고양,완숙토마토,1,6,2022-06-13,1,1.0,198.3,,,,,10.5,11.6,6.0,0.0,0.0,6.0,,2022-06-13,20.02857142857143,,19.971428571428568,86.32857142857142
